NAME,state,population_2016,population_2021,2016_to_2021_population_chg
24898,54,85.0,288.0,2.388235294117647
24946,54,1552.0,1040.0,-0.3298969072164949
24957,54,266.0,442.0,0.6616541353383458
24606,51,128.0,153.0,0.1953125
24607,51,469.0,264.0,-0.43710021321961623
24614,51,7434.0,7176.0,-0.03470540758676355
24656,51,3071.0,2721.0,-0.11396939107782478
24715,54,460.0,332.0,-0.27826086956521734
24726,54,433.0,504.0,0.16397228637413397
24846,54,105.0,316.0,2.0095238095238095
24849,54,359.0,276.0,-0.23119777158774368
24850,54,861.0,0.0,-1.0
24854,54,344.0,732.0,1.1279069767441858
24882,54,443.0,1076.0,1.4288939051918734
24887,54,13.0,0.0,-1.0
24924,54,362.0,565.0,0.5607734806629834
24935,54,566.0,307.0,-0.45759717314487636
24941,54,1242.0,1022.0,-0.17713365539452497
24951,54,1636.0,1558.0,-0.0476772616136919
24974,54,240.0,382.0,0.5916666666666666
24983,54,2038.0,2098.0,0.02944062806673209
21044,24,43034.0,44662.0,0.03783055258632717
21048,24,10133.0,10084.0,-0.004835685384387611
21130,24,223.0,66.0,-0.7040358744394619
21146,24,27490.0,28410.0,0.03346671516915234
21154,24,5879.0,7002.0,0.19101888076203433
21160,24,2762.0,2809.0,0.01701665459811741
21209,24,28179.0,30146.0,0.06980375456900534
21212,24,34054.0,34525.0,0.013830974334879897
21216,24,28890.0,27643.0,-0.04316372447213568
21520,24,2144.0,2048.0,-0.04477611940298509
21545,24,2003.0,1625.0,-0.18871692461308043
21555,24,1951.0,1455.0,-0.2542286007175807
21001,24,24470.0,25708.0,0.05059256232120957
21013,24,5089.0,5297.0,0.04087247003340533
21029,24,12019.0,13507.0,0.12380397703635904
21045,24,39426.0,40522.0,0.027798914421955034
21057,24,3946.0,4485.0,0.13659401926001014
21060,24,32154.0,37038.0,0.1518940100765067
21531,24,2188.0,1880.0,-0.14076782449725778
21012,24,20713.0,23536.0,0.13629121807560463
21030,24,24328.0,25900.0,0.06461690233475825
21046,24,16178.0,15484.0,-0.04289776239337373
21056,24,158.0,274.0,0.7341772151898733
21105,24,18.0,0.0,-1.0
21111,24,3903.0,5155.0,0.320778888034845
21122,24,60583.0,61212.0,0.010382450522423703
21161,24,5421.0,5965.0,0.10035048883969755
21163,24,7184.0,6891.0,-0.04078507795100228
21206,24,49777.0,51643.0,0.03748719288024582
24991,54,693.0,505.0,-0.27128427128427124
24639,51,2960.0,3748.0,0.2662162162162163
24657,51,399.0,336.0,-0.1578947368421053
24737,54,95.0,1339.0,13.094736842105263
24811,54,611.0,501.0,-0.18003273322422264
24817,54,799.0,1655.0,1.0713391739674591
24823,54,431.0,538.0,0.24825986078886308
24839,54,1397.0,996.0,-0.28704366499642087
24867,54,329.0,389.0,0.18237082066869292
24871,54,244.0,742.0,2.040983606557377
24872,54,725.0,622.0,-0.14206896551724135
24881,54,400.0,236.0,-0.41000000000000003
24884,54,347.0,28.0,-0.9193083573487032
24892,54,1763.0,1470.0,-0.16619398752127057
24894,54,323.0,406.0,0.2569659442724459
24224,51,6215.0,5445.0,-0.12389380530973448
24228,51,6776.0,5842.0,-0.13783943329397874
24239,51,167.0,118.0,-0.2934131736526946
24256,51,3523.0,3531.0,0.002270791938688621
24273,51,6660.0,5898.0,-0.11441441441441447
24301,51,13774.0,13909.0,0.009801074488166028
24323,51,657.0,1074.0,0.634703196347032
24326,51,1209.0,847.0,-0.2994210090984285
24330,51,3266.0,2792.0,-0.14513165952235152
24347,51,1685.0,1597.0,-0.05222551928783381
24348,51,3736.0,4750.0,0.2714132762312633
24361,51,5525.0,4824.0,-0.1268778280542986
24368,51,5305.0,5034.0,-0.051083883129123486
24377,51,270.0,544.0,1.0148148148148146
24944,54,479.0,410.0,-0.14405010438413357
24279,51,5320.0,4784.0,-0.10075187969924815
24079,51,1846.0,2058.0,0.11484290357529803
24066,51,4827.0,5112.0,0.05904288377874467
24067,51,2249.0,2234.0,-0.0066696309470876125
24076,51,1174.0,1211.0,0.03151618398637135
24082,51,369.0,557.0,0.5094850948509486
24120,51,1582.0,1703.0,0.0764854614412136
24122,51,1605.0,1407.0,-0.12336448598130845
24132,51,531.0,253.0,-0.5235404896421846
24147,51,1576.0,1245.0,-0.2100253807106599
24150,51,660.0,686.0,0.039393939393939315
24176,51,1462.0,1195.0,-0.1826265389876881
24216,51,2665.0,2576.0,-0.03339587242026265
24248,51,2570.0,2292.0,-0.10817120622568088
24265,51,499.0,1274.0,1.5531062124248498
24270,51,497.0,503.0,0.012072434607645954
24290,51,2034.0,2280.0,0.12094395280235992
24328,51,1591.0,1794.0,0.12759270898805775
24374,51,960.0,589.0,-0.38645833333333335
24375,51,1489.0,1743.0,0.1705842847548691
24430,51,3708.0,3900.0,0.05177993527508096
24433,51,82.0,82.0,0.0
24437,51,1263.0,1514.0,0.19873317498020593
24445,51,2632.0,2516.0,-0.04407294832826747
24450,51,16569.0,16789.0,0.013277807954614085
24457,51,150.0,388.0,1.5866666666666664
24486,51,3699.0,3467.0,-0.06271965396052992
24472,51,2086.0,2113.0,0.012943432406519628
24484,51,879.0,598.0,-0.3196814562002275
25514,54,3501.0,4072.0,0.16309625821193952
25979,54,804.0,565.0,-0.29726368159203975
25009,54,1277.0,1351.0,0.05794831636648401
25028,54,374.0,269.0,-0.2807486631016043
